epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3693.64,0.98414,0.49131,0.95417,0.85891,0.88881,0.9153,0.51632,1.4671,0.62991,1.17096,0.00643101,0.00643101,0.00643101
43,3781.41,0.97796,0.4913,0.9537,0.9078,0.8726,0.92257,0.52488,1.46972,0.63498,1.1732,0.00628101,0.00628101,0.00628101
44,3869.14,0.97373,0.48407,0.95317,0.91143,0.8629,0.92047,0.52611,1.46051,0.64227,1.16816,0.00612981,0.00612981,0.00612981
45,3957.14,0.96839,0.48105,0.94458,0.91591,0.85697,0.91597,0.53178,1.45287,0.63193,1.16689,0.00597754,0.00597754,0.00597754
46,4044.99,0.95573,0.47452,0.94679,0.90613,0.87719,0.92528,0.53546,1.46089,0.62234,1.165,0.00582435,0.00582435,0.00582435
47,4132.74,0.95673,0.47406,0.9439,0.90939,0.86097,0.91773,0.53293,1.45587,0.63081,1.16669,0.0056704,0.0056704,0.0056704
48,4220.49,0.94588,0.47161,0.94425,0.90411,0.87841,0.92233,0.53633,1.44769,0.61004,1.16276,0.00551584,0.00551584,0.00551584
49,4308.41,0.94419,0.46198,0.94205,0.9159,0.86993,0.9184,0.53867,1.45194,0.61755,1.17096,0.00536081,0.00536081,0.00536081
50,4396.13,0.93261,0.45819,0.93601,0.90375,0.87701,0.91957,0.53645,1.45508,0.6208,1.16707,0.00520548,0.00520548,0.00520548
51,4483.85,0.92881,0.45675,0.93399,0.94211,0.83215,0.92037,0.53379,1.4521,0.6283,1.16444,0.00505,0.00505,0.00505
52,4571.48,0.92633,0.45635,0.93333,0.90342,0.87565,0.91978,0.54119,1.4369,0.62141,1.15889,0.00489452,0.00489452,0.00489452
53,4659.33,0.91321,0.44943,0.93004,0.90285,0.88131,0.92169,0.53923,1.43765,0.61968,1.15891,0.00473919,0.00473919,0.00473919
54,4746.99,0.90953,0.44685,0.92557,0.90032,0.88127,0.91973,0.53806,1.44416,0.62053,1.15929,0.00458416,0.00458416,0.00458416
55,4834.63,0.90572,0.4433,0.93,0.90806,0.89035,0.91953,0.53736,1.44303,0.60428,1.16868,0.0044296,0.0044296,0.0044296
56,4922.4,0.89207,0.43337,0.92583,0.91939,0.87862,0.92254,0.53415,1.43615,0.60481,1.16819,0.00427565,0.00427565,0.00427565
57,5010.25,0.89151,0.43249,0.92497,0.91493,0.87688,0.92139,0.53476,1.44258,0.6128,1.16903,0.00412246,0.00412246,0.00412246
58,5097.98,0.87966,0.42687,0.91919,0.91041,0.87678,0.92336,0.53767,1.44211,0.6134,1.16529,0.00397019,0.00397019,0.00397019
59,5185.78,0.87641,0.42782,0.91947,0.92197,0.87332,0.92217,0.53818,1.44527,0.61615,1.16706,0.00381899,0.00381899,0.00381899
60,5273.48,0.8726,0.42377,0.91725,0.92137,0.87052,0.92103,0.53669,1.43922,0.61809,1.16248,0.00366899,0.00366899,0.00366899
61,5361.35,0.86391,0.41903,0.91467,0.90807,0.88073,0.92035,0.5381,1.43578,0.62069,1.16422,0.00352037,0.00352037,0.00352037
62,5449.05,0.85525,0.41654,0.91294,0.90265,0.88673,0.92008,0.53978,1.43724,0.62212,1.16804,0.00337325,0.00337325,0.00337325
63,5536.68,0.85,0.4089,0.91272,0.9087,0.89386,0.92143,0.54184,1.43234,0.62606,1.16708,0.00322778,0.00322778,0.00322778
64,5624.42,0.84476,0.40506,0.9081,0.90836,0.88032,0.92116,0.5423,1.43103,0.62491,1.1685,0.00308412,0.00308412,0.00308412
65,5712.34,0.84204,0.40323,0.90916,0.91066,0.87147,0.91848,0.54357,1.42898,0.62463,1.16654,0.00294239,0.00294239,0.00294239
66,5800.09,0.83353,0.40153,0.90312,0.9107,0.86117,0.9154,0.54112,1.42605,0.62752,1.16596,0.00280275,0.00280275,0.00280275
67,5887.89,0.83073,0.39856,0.90461,0.89993,0.87208,0.91606,0.54197,1.42438,0.62881,1.16444,0.00266532,0.00266532,0.00266532
68,5975.51,0.82268,0.39422,0.90291,0.91168,0.86513,0.91848,0.54261,1.42633,0.62958,1.16661,0.00253024,0.00253024,0.00253024
69,6063.32,0.82123,0.39228,0.90334,0.92659,0.85382,0.9172,0.54041,1.43101,0.62762,1.17019,0.00239766,0.00239766,0.00239766
70,6151.08,0.81284,0.38864,0.89878,0.90508,0.8727,0.91808,0.53992,1.43163,0.62778,1.17135,0.00226769,0.00226769,0.00226769
71,6238.8,0.80527,0.38561,0.89751,0.9248,0.85035,0.91849,0.54282,1.43186,0.62571,1.17216,0.00214046,0.00214046,0.00214046
72,6326.62,0.80682,0.38532,0.89647,0.91045,0.86204,0.91596,0.5389,1.43275,0.62821,1.17297,0.00201611,0.00201611,0.00201611
73,6414.32,0.80175,0.38059,0.89478,0.92886,0.84716,0.91615,0.54114,1.43244,0.62784,1.17367,0.00189475,0.00189475,0.00189475
