epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8574,1.683,2.95717,1.3272,0.70461,0.42594,0.43458,0.2087,1.72379,1.88983,1.29147,0.00333008,0.00333008,0.00333008
2,121.738,1.50715,1.50495,1.16972,0.77428,0.45758,0.49475,0.24292,1.73978,1.34263,1.2938,0.00666179,0.00666179,0.00666179
3,189.908,1.53333,1.22999,1.1754,0.8406,0.51742,0.59432,0.26551,1.7737,1.29376,1.32671,0.00998698,0.00998698,0.00998698
4,250.784,1.54004,1.11029,1.19389,0.83807,0.54089,0.59683,0.29059,1.75736,1.22028,1.31193,0.00997803,0.00997803,0.00997803
5,317.169,1.4971,0.99161,1.1755,0.78253,0.50591,0.53162,0.26878,1.70881,1.20073,1.3245,0.00996097,0.00996097,0.00996097
6,374.908,1.46873,0.93699,1.16613,0.85848,0.51196,0.60741,0.30368,1.7131,1.11911,1.3158,0.00993906,0.00993906,0.00993906
7,431.357,1.43772,0.88856,1.14799,0.85442,0.5956,0.67319,0.3345,1.69048,1.02217,1.28328,0.00991232,0.00991232,0.00991232
8,489.523,1.40715,0.85094,1.1359,0.85917,0.59653,0.66373,0.33584,1.65136,1.03155,1.26236,0.00988079,0.00988079,0.00988079
9,546.872,1.38885,0.8286,1.12847,0.85051,0.6046,0.63832,0.33725,1.66222,1.00915,1.26606,0.00984449,0.00984449,0.00984449
10,604.874,1.36678,0.80089,1.11882,0.85924,0.60062,0.71124,0.36033,1.69424,0.97236,1.27687,0.00980345,0.00980345,0.00980345
11,661.486,1.35282,0.78718,1.10817,0.83872,0.60105,0.70038,0.35378,1.63391,0.944,1.26183,0.00975773,0.00975773,0.00975773
12,717.577,1.34085,0.77357,1.10411,0.89136,0.61418,0.73898,0.38287,1.6091,0.8925,1.24216,0.00970736,0.00970736,0.00970736
13,773.712,1.31156,0.74521,1.09092,0.87279,0.6197,0.69952,0.36489,1.60898,0.93316,1.23793,0.00965239,0.00965239,0.00965239
14,829.709,1.30506,0.74209,1.0857,0.86984,0.61074,0.67722,0.35726,1.65623,0.93428,1.24301,0.00959289,0.00959289,0.00959289
15,885.908,1.29579,0.72919,1.08364,0.88928,0.63186,0.71331,0.36805,1.63008,0.91717,1.24246,0.00952889,0.00952889,0.00952889
16,942.436,1.28435,0.71837,1.07506,0.87029,0.61936,0.74051,0.39831,1.60224,0.87844,1.22779,0.00946048,0.00946048,0.00946048
17,998.738,1.27861,0.707,1.07169,0.90369,0.59463,0.74046,0.39478,1.59603,0.84434,1.21445,0.00938772,0.00938772,0.00938772
18,1054.72,1.26609,0.70187,1.0657,0.8825,0.63417,0.78233,0.41184,1.5776,0.8178,1.21043,0.00931067,0.00931067,0.00931067
19,1111.74,1.25704,0.68281,1.06276,0.88985,0.61411,0.75506,0.40952,1.58459,0.85983,1.21021,0.00922942,0.00922942,0.00922942
20,1168.3,1.25806,0.69,1.06074,0.70109,0.71087,0.75877,0.40162,1.5505,0.82813,1.20172,0.00914405,0.00914405,0.00914405
21,1224.9,1.24775,0.67682,1.05723,0.86322,0.63597,0.73748,0.38525,1.58829,0.80466,1.21149,0.00905463,0.00905463,0.00905463
22,1281.09,1.24055,0.67466,1.05263,0.89886,0.61267,0.7588,0.40779,1.57198,0.82134,1.20666,0.00896127,0.00896127,0.00896127
23,1337.3,1.22085,0.65845,1.04668,0.65648,0.75426,0.78173,0.41656,1.5761,0.81074,1.21133,0.00886404,0.00886404,0.00886404
24,1394.19,1.22651,0.66021,1.04859,0.87881,0.62919,0.75312,0.40788,1.5817,0.81819,1.21487,0.00876305,0.00876305,0.00876305
25,1451.96,1.20661,0.65306,1.03729,0.70104,0.72602,0.76151,0.41266,1.57186,0.79153,1.2069,0.00865839,0.00865839,0.00865839
26,1508.98,1.20079,0.64861,1.04105,0.85775,0.65731,0.80031,0.42898,1.54618,0.78925,1.19906,0.00855018,0.00855018,0.00855018
27,1565.52,1.20294,0.64105,1.04129,0.61395,0.76483,0.78483,0.41978,1.57672,0.78197,1.22103,0.00843851,0.00843851,0.00843851
