epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1571.69,1.26914,0.64802,0.9592,0.82565,0.6654,0.73879,0.39919,1.53507,0.76098,1.03472,0.00643101,0.00643101,0.00643101
43,1608.94,1.27066,0.65182,0.96115,0.78048,0.65792,0.7175,0.39197,1.54443,0.75433,1.04311,0.00628101,0.00628101,0.00628101
44,1645.76,1.26044,0.64833,0.95883,0.83894,0.6746,0.7484,0.4101,1.51153,0.74101,1.03211,0.00612981,0.00612981,0.00612981
45,1682.7,1.25048,0.63572,0.95169,0.83138,0.67422,0.74456,0.40713,1.51129,0.74329,1.02675,0.00597754,0.00597754,0.00597754
46,1719.42,1.24738,0.63449,0.95792,0.81571,0.68364,0.74895,0.40595,1.52079,0.73805,1.03105,0.00582435,0.00582435,0.00582435
47,1756.63,1.24826,0.63466,0.95279,0.85178,0.67299,0.74138,0.40507,1.52135,0.73923,1.02789,0.0056704,0.0056704,0.0056704
48,1794.12,1.23788,0.6309,0.95352,0.83112,0.66296,0.73415,0.40887,1.49402,0.73468,1.02271,0.00551584,0.00551584,0.00551584
49,1831.03,1.23287,0.62398,0.94738,0.80943,0.66913,0.73535,0.40766,1.50653,0.7404,1.02776,0.00536081,0.00536081,0.00536081
50,1868.55,1.22711,0.61731,0.94529,0.78706,0.68154,0.75686,0.41222,1.49451,0.72921,1.02198,0.00520548,0.00520548,0.00520548
51,1905.82,1.22911,0.61688,0.95042,0.81271,0.66636,0.73941,0.40742,1.49959,0.74043,1.02209,0.00505,0.00505,0.00505
52,1942.47,1.22323,0.61409,0.94291,0.79278,0.67738,0.73781,0.40769,1.49687,0.73784,1.02395,0.00489452,0.00489452,0.00489452
53,1979.32,1.21273,0.60879,0.94247,0.81293,0.67415,0.7391,0.41139,1.49742,0.7369,1.02157,0.00473919,0.00473919,0.00473919
54,2016.81,1.21413,0.61032,0.93996,0.80675,0.68243,0.74205,0.41342,1.49156,0.73736,1.01753,0.00458416,0.00458416,0.00458416
55,2053.65,1.20437,0.60277,0.93993,0.82663,0.67134,0.74822,0.4142,1.49367,0.72898,1.01995,0.0044296,0.0044296,0.0044296
56,2091.17,1.19388,0.59566,0.93604,0.79849,0.68381,0.74834,0.41922,1.48646,0.71341,1.01718,0.00427565,0.00427565,0.00427565
57,2128.67,1.19117,0.59261,0.93764,0.84277,0.66895,0.75058,0.42214,1.48061,0.71682,1.01796,0.00412246,0.00412246,0.00412246
58,2166.67,1.18723,0.58754,0.93278,0.82235,0.67373,0.75281,0.41968,1.4824,0.71931,1.0177,0.00397019,0.00397019,0.00397019
59,2203.54,1.18473,0.58805,0.93283,0.83542,0.68508,0.76155,0.42695,1.47617,0.71584,1.01569,0.00381899,0.00381899,0.00381899
60,2240.55,1.17822,0.58105,0.93459,0.8576,0.66625,0.76843,0.4319,1.47813,0.71299,1.01734,0.00366899,0.00366899,0.00366899
61,2277.55,1.16821,0.57638,0.93133,0.82827,0.6854,0.76954,0.43247,1.47898,0.70823,1.01853,0.00352037,0.00352037,0.00352037
62,2314.94,1.16692,0.57874,0.92794,0.81695,0.7104,0.77448,0.43639,1.47661,0.70046,1.01731,0.00337325,0.00337325,0.00337325
63,2352.09,1.15088,0.5648,0.9275,0.8058,0.70195,0.76936,0.43171,1.47377,0.69661,1.01718,0.00322778,0.00322778,0.00322778
64,2390.03,1.15768,0.56783,0.92721,0.76873,0.70822,0.76756,0.42865,1.47605,0.69725,1.01844,0.00308412,0.00308412,0.00308412
65,2427.53,1.15347,0.56436,0.92797,0.80467,0.69306,0.76917,0.43179,1.47425,0.69389,1.01671,0.00294239,0.00294239,0.00294239
66,2464.35,1.14778,0.56481,0.92287,0.79603,0.70118,0.77417,0.43307,1.46693,0.69183,1.01549,0.00280275,0.00280275,0.00280275
67,2501.13,1.15031,0.56111,0.92287,0.80506,0.69837,0.7727,0.43092,1.46968,0.69081,1.01585,0.00266532,0.00266532,0.00266532
68,2538.29,1.14069,0.55491,0.9221,0.78866,0.70097,0.77171,0.43093,1.47218,0.69496,1.01621,0.00253024,0.00253024,0.00253024
69,2575.19,1.13674,0.55021,0.92348,0.80748,0.69597,0.77337,0.43021,1.46856,0.69297,1.01677,0.00239766,0.00239766,0.00239766
70,2612.55,1.13423,0.54983,0.91973,0.8012,0.69615,0.77335,0.43073,1.46871,0.69392,1.01775,0.00226769,0.00226769,0.00226769
71,2649.16,1.123,0.54451,0.91837,0.7998,0.69558,0.77137,0.43112,1.467,0.692,1.0171,0.00214046,0.00214046,0.00214046
72,2686.06,1.12428,0.54559,0.91524,0.81925,0.68377,0.77413,0.43105,1.46499,0.6931,1.01645,0.00201611,0.00201611,0.00201611
73,2723.66,1.11821,0.53968,0.91556,0.81377,0.68856,0.77667,0.43304,1.46119,0.69104,1.01597,0.00189475,0.00189475,0.00189475
74,2761.36,1.11554,0.53857,0.91791,0.79908,0.69281,0.77684,0.43421,1.45908,0.69021,1.0163,0.00177651,0.00177651,0.00177651
75,2798.95,1.10803,0.53465,0.91427,0.82208,0.68055,0.77644,0.43491,1.45948,0.68998,1.01611,0.00166149,0.00166149,0.00166149
76,2836.4,1.10389,0.53366,0.91184,0.83665,0.67589,0.77841,0.43553,1.45914,0.68796,1.0168,0.00154982,0.00154982,0.00154982
77,2873.47,1.09691,0.52479,0.91014,0.82072,0.68219,0.77781,0.43518,1.46026,0.68801,1.01665,0.00144161,0.00144161,0.00144161
78,2910.97,1.099,0.52867,0.9138,0.82083,0.68177,0.7768,0.43536,1.46016,0.68968,1.01607,0.00133695,0.00133695,0.00133695
79,2948.42,1.0909,0.52122,0.91091,0.82514,0.68314,0.77422,0.43433,1.45856,0.69034,1.01536,0.00123596,0.00123596,0.00123596
80,2985.67,1.09902,0.52538,0.90999,0.81398,0.6795,0.77114,0.43125,1.46013,0.69123,1.01531,0.00113873,0.00113873,0.00113873
81,3023.48,1.09091,0.52119,0.9101,0.79406,0.68323,0.76713,0.43128,1.46076,0.69226,1.01529,0.00104537,0.00104537,0.00104537
82,3060.77,1.08422,0.51657,0.91053,0.77267,0.69115,0.77032,0.43114,1.46055,0.69117,1.01511,0.000955951,0.000955951,0.000955951
