epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4680.73,1.05608,0.55709,1.04326,0.87271,0.88123,0.90569,0.51958,1.49624,0.64334,1.29853,0.00900844,0.00900844,0.00900844
43,4792.06,1.05339,0.56299,1.04108,0.86058,0.86041,0.89046,0.51292,1.50171,0.65534,1.30477,0.00896127,0.00896127,0.00896127
44,4903.45,1.04767,0.55554,1.04031,0.84836,0.86852,0.90473,0.50986,1.50927,0.64688,1.29941,0.00891313,0.00891313,0.00891313
45,5014.85,1.04683,0.55057,1.03502,0.90592,0.86035,0.90673,0.51804,1.49676,0.63777,1.29463,0.00886404,0.00886404,0.00886404
46,5126.26,1.04043,0.55175,1.03729,0.88837,0.87129,0.90307,0.50876,1.50522,0.63666,1.30907,0.00881401,0.00881401,0.00881401
47,5237.78,1.04331,0.54959,1.03546,0.88784,0.86467,0.90094,0.51431,1.48783,0.63499,1.28916,0.00876305,0.00876305,0.00876305
48,5349.07,1.03287,0.54827,1.03113,0.8896,0.87862,0.90822,0.52523,1.49317,0.63253,1.28966,0.00871117,0.00871117,0.00871117
49,5460.58,1.03496,0.54301,1.02761,0.91059,0.86229,0.90426,0.52149,1.49289,0.63773,1.29598,0.00865839,0.00865839,0.00865839
50,5572.02,1.02132,0.53536,1.02402,0.90927,0.86965,0.90913,0.5302,1.49064,0.63246,1.29221,0.00860473,0.00860473,0.00860473
51,5683.39,1.02397,0.5391,1.02702,0.91578,0.86623,0.90596,0.51755,1.50581,0.63173,1.29966,0.00855018,0.00855018,0.00855018
52,5794.72,1.02069,0.53434,1.02447,0.91554,0.86636,0.91091,0.52571,1.48836,0.63052,1.28866,0.00849477,0.00849477,0.00849477
53,5906.09,1.0142,0.53101,1.01968,0.89737,0.85627,0.90155,0.52543,1.4884,0.63645,1.28612,0.00843851,0.00843851,0.00843851
54,6017.54,1.01564,0.53186,1.01584,0.90663,0.86013,0.90694,0.52537,1.48345,0.63201,1.28666,0.00838141,0.00838141,0.00838141
55,6128.98,1.01247,0.53043,1.02082,0.90855,0.86989,0.90748,0.5227,1.49201,0.63099,1.29364,0.00832349,0.00832349,0.00832349
56,6240.45,1.00635,0.52167,1.01849,0.9115,0.86839,0.9024,0.5233,1.48888,0.62762,1.29496,0.00826477,0.00826477,0.00826477
57,6351.87,1.0073,0.52176,1.016,0.90639,0.87804,0.90817,0.52879,1.49006,0.62925,1.28991,0.00820525,0.00820525,0.00820525
58,6463.26,0.99558,0.52001,1.01246,0.90278,0.87746,0.90862,0.53449,1.48205,0.62253,1.29074,0.00814495,0.00814495,0.00814495
59,6574.84,1.00031,0.52084,1.01443,0.91078,0.88175,0.90846,0.52939,1.48377,0.61862,1.29924,0.00808389,0.00808389,0.00808389
60,6686.36,0.99402,0.51696,1.01201,0.92758,0.86638,0.91253,0.5292,1.49278,0.61993,1.30122,0.00802208,0.00802208,0.00802208
61,6797.71,0.98662,0.51368,1.00667,0.92826,0.86985,0.91097,0.52126,1.48732,0.6202,1.29911,0.00795954,0.00795954,0.00795954
62,6909.11,0.98719,0.51495,1.00618,0.92717,0.86656,0.91281,0.52646,1.47621,0.61396,1.29316,0.00789628,0.00789628,0.00789628
63,7020.52,0.97761,0.50926,1.00497,0.9224,0.8547,0.91019,0.52169,1.47948,0.61672,1.293,0.00783231,0.00783231,0.00783231
