epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7287,1.31334,1.86369,0.99548,0.92868,0.87166,0.90446,0.60302,1.13238,0.73152,0.9405,0.00332856,0.00332856,0.00332856
2,122.448,1.17988,0.93885,0.95914,0.93022,0.87915,0.91963,0.60673,1.11546,0.72262,0.93559,0.00666026,0.00666026,0.00666026
3,183.155,1.20108,0.89252,0.97056,0.92087,0.85762,0.90124,0.58878,1.16876,0.73958,0.96204,0.00998546,0.00998546,0.00998546
4,243.408,1.18065,0.82768,0.97799,0.93509,0.87297,0.90892,0.6114,1.0959,0.67482,0.9476,0.00997803,0.00997803,0.00997803
5,301.113,1.11752,0.71368,0.96469,0.93581,0.89012,0.91824,0.64193,1.02587,0.6066,0.93772,0.00996097,0.00996097,0.00996097
6,357.133,1.08491,0.65293,0.95693,0.92844,0.89754,0.91788,0.6414,1.00734,0.60064,0.93532,0.00993906,0.00993906,0.00993906
7,413.404,1.04845,0.60824,0.95143,0.93358,0.88618,0.92511,0.66327,0.9715,0.60525,0.92378,0.00991232,0.00991232,0.00991232
8,470.456,1.0217,0.57968,0.94365,0.94541,0.89793,0.93338,0.67706,0.97316,0.55398,0.91441,0.00988079,0.00988079,0.00988079
9,527.025,1.00353,0.55441,0.9383,0.92848,0.91655,0.93877,0.68332,0.96362,0.53654,0.91842,0.00984449,0.00984449,0.00984449
10,583.205,0.98633,0.53588,0.93376,0.94634,0.90496,0.9364,0.68819,0.94631,0.52807,0.9093,0.00980345,0.00980345,0.00980345
11,640.784,0.96691,0.5223,0.92804,0.94134,0.9084,0.94191,0.69359,0.93899,0.53994,0.90561,0.00975773,0.00975773,0.00975773
12,698.42,0.95556,0.51388,0.92396,0.94371,0.91194,0.94283,0.69958,0.92213,0.51543,0.90775,0.00970736,0.00970736,0.00970736
13,754.435,0.94926,0.50362,0.92202,0.94473,0.91545,0.94378,0.69126,0.93764,0.51963,0.90744,0.00965239,0.00965239,0.00965239
14,810.307,0.94054,0.49739,0.92013,0.92658,0.92094,0.94463,0.70138,0.91176,0.50233,0.90687,0.00959289,0.00959289,0.00959289
