epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3691.32,1.19987,0.65004,1.43854,0.72612,0.75034,0.83019,0.46259,1.5372,0.74305,1.80898,0.00900844,0.00900844,0.00900844
43,3783.26,1.20088,0.64948,1.43217,0.7283,0.77515,0.83879,0.45973,1.54307,0.74892,1.80726,0.00896127,0.00896127,0.00896127
44,3871.07,1.19559,0.64133,1.43216,0.69961,0.80211,0.83727,0.44875,1.53569,0.74537,1.79733,0.00891313,0.00891313,0.00891313
45,3957.42,1.19456,0.63559,1.4205,0.71528,0.77056,0.84047,0.46289,1.54288,0.7523,1.79829,0.00886404,0.00886404,0.00886404
46,4043.89,1.18718,0.63657,1.42768,0.74805,0.80058,0.86841,0.46999,1.5411,0.74111,1.80002,0.00881401,0.00881401,0.00881401
47,4130.33,1.18808,0.63516,1.41493,0.71738,0.82943,0.86345,0.47296,1.52583,0.72387,1.78428,0.00876305,0.00876305,0.00876305
48,4216.45,1.18095,0.63165,1.41684,0.76609,0.82346,0.87008,0.46762,1.527,0.71054,1.78822,0.00871117,0.00871117,0.00871117
49,4302.71,1.17552,0.62675,1.40454,0.77489,0.83334,0.88402,0.48663,1.50917,0.69877,1.77377,0.00865839,0.00865839,0.00865839
50,4389.01,1.17377,0.61875,1.40013,0.82672,0.81395,0.88324,0.48282,1.52162,0.70541,1.78521,0.00860473,0.00860473,0.00860473
51,4475.36,1.1741,0.62311,1.40274,0.80012,0.82318,0.87878,0.48123,1.51768,0.71345,1.78318,0.00855018,0.00855018,0.00855018
52,4561.68,1.17464,0.61983,1.39973,0.81809,0.82922,0.90055,0.4975,1.51119,0.69388,1.77995,0.00849477,0.00849477,0.00849477
53,4648.1,1.16643,0.61767,1.40201,0.80732,0.82132,0.88713,0.48766,1.51564,0.70009,1.79349,0.00843851,0.00843851,0.00843851
54,4734.56,1.15963,0.6172,1.38343,0.82786,0.80244,0.88641,0.4874,1.51267,0.69903,1.78209,0.00838141,0.00838141,0.00838141
55,4824.36,1.16362,0.61226,1.3932,0.831,0.80993,0.88133,0.47961,1.5145,0.6903,1.78121,0.00832349,0.00832349,0.00832349
56,4912.19,1.15756,0.60539,1.38634,0.8591,0.81854,0.89556,0.49182,1.49384,0.68355,1.75832,0.00826477,0.00826477,0.00826477
57,4999.12,1.15553,0.60571,1.38755,0.82573,0.83426,0.89367,0.4908,1.49402,0.68291,1.75475,0.00820525,0.00820525,0.00820525
58,5086.17,1.14276,0.59642,1.37701,0.8112,0.84708,0.88422,0.4872,1.51324,0.68539,1.77125,0.00814495,0.00814495,0.00814495
59,5173.25,1.14307,0.60275,1.36895,0.83832,0.84377,0.88711,0.48491,1.50983,0.68303,1.76389,0.00808389,0.00808389,0.00808389
60,5260.3,1.14273,0.59714,1.37022,0.82489,0.84983,0.8888,0.48597,1.50653,0.6792,1.76422,0.00802208,0.00802208,0.00802208
61,5347.3,1.13103,0.59156,1.36174,0.82374,0.85124,0.88661,0.47902,1.51129,0.69389,1.77228,0.00795954,0.00795954,0.00795954
62,5434.21,1.13108,0.59653,1.35722,0.82684,0.85056,0.88057,0.48151,1.504,0.68948,1.76646,0.00789628,0.00789628,0.00789628
63,5523.03,1.13109,0.58943,1.36432,0.81855,0.85297,0.87662,0.48379,1.50279,0.68602,1.76625,0.00783231,0.00783231,0.00783231
64,5614.89,1.12655,0.5834,1.3551,0.86315,0.82763,0.87602,0.48559,1.49575,0.68552,1.76352,0.00776766,0.00776766,0.00776766
65,5706.9,1.13093,0.58719,1.36096,0.86138,0.82926,0.88376,0.48606,1.49052,0.68121,1.75634,0.00770234,0.00770234,0.00770234
66,5789.01,1.11833,0.58146,1.34899,0.84201,0.8413,0.88297,0.49113,1.48928,0.68093,1.75477,0.00763637,0.00763637,0.00763637
67,5870.21,1.12236,0.58116,1.35061,0.84687,0.83734,0.88366,0.49291,1.48871,0.67473,1.75537,0.00756976,0.00756976,0.00756976
68,5951.34,1.11737,0.57938,1.3387,0.828,0.84534,0.88012,0.49032,1.49118,0.67871,1.761,0.00750252,0.00750252,0.00750252
69,6032.46,1.11876,0.58242,1.34681,0.82396,0.86111,0.88577,0.48933,1.49442,0.6796,1.76267,0.00743468,0.00743468,0.00743468
70,6113.4,1.11422,0.57165,1.34121,0.83666,0.84482,0.87916,0.49154,1.49355,0.67902,1.76418,0.00736625,0.00736625,0.00736625
71,6194.73,1.11007,0.57131,1.34271,0.84981,0.84132,0.87582,0.4918,1.49062,0.67334,1.76121,0.00729725,0.00729725,0.00729725
72,6276.36,1.11056,0.57154,1.33653,0.86517,0.83409,0.87908,0.4929,1.49067,0.66951,1.76022,0.0072277,0.0072277,0.0072277
73,6357.73,1.10675,0.56356,1.338,0.8634,0.84531,0.88273,0.49429,1.48391,0.66388,1.75739,0.00715761,0.00715761,0.00715761
74,6439.14,1.10292,0.56874,1.3358,0.87531,0.8435,0.8894,0.49635,1.48172,0.66082,1.75898,0.007087,0.007087,0.007087
75,6520.63,1.10119,0.55815,1.32922,0.87885,0.84693,0.88996,0.49749,1.4828,0.65703,1.75963,0.00701588,0.00701588,0.00701588
76,6602.18,1.09959,0.55917,1.32674,0.87858,0.85867,0.89535,0.49855,1.48264,0.65627,1.75879,0.00694428,0.00694428,0.00694428
77,6683.53,1.09462,0.5586,1.32427,0.88261,0.85861,0.89791,0.50063,1.4804,0.65249,1.75663,0.00687222,0.00687222,0.00687222
78,6765.13,1.09714,0.56494,1.32231,0.88525,0.86327,0.90022,0.50266,1.47796,0.65034,1.75229,0.0067997,0.0067997,0.0067997
79,6846.69,1.09213,0.55813,1.32276,0.88547,0.85682,0.90061,0.50411,1.47705,0.65031,1.74912,0.00672675,0.00672675,0.00672675
80,6928.21,1.09168,0.56021,1.31485,0.8961,0.84854,0.89938,0.50341,1.47977,0.65261,1.75064,0.00665339,0.00665339,0.00665339
81,7009.6,1.08511,0.55529,1.3209,0.89634,0.83873,0.89388,0.50264,1.47838,0.65304,1.74915,0.00657963,0.00657963,0.00657963
82,7091.07,1.08162,0.5476,1.31358,0.89486,0.83381,0.89561,0.50618,1.47765,0.65276,1.75027,0.0065055,0.0065055,0.0065055
83,7172.5,1.08009,0.55307,1.31405,0.88483,0.85029,0.90155,0.5073,1.47808,0.65087,1.75136,0.00643101,0.00643101,0.00643101
84,7253.99,1.07435,0.54853,1.30296,0.89538,0.83466,0.90231,0.50807,1.47755,0.6495,1.74935,0.00635617,0.00635617,0.00635617
85,7335.61,1.07336,0.54649,1.30489,0.90292,0.83659,0.90492,0.5093,1.47582,0.6474,1.7471,0.00628101,0.00628101,0.00628101
86,7417.16,1.06496,0.53773,1.29507,0.90326,0.83938,0.90477,0.50926,1.47609,0.64685,1.74634,0.00620555,0.00620555,0.00620555
87,7498.54,1.06837,0.54091,1.29755,0.90902,0.83716,0.9052,0.51049,1.47548,0.64675,1.74363,0.00612981,0.00612981,0.00612981
88,7579.94,1.06298,0.54192,1.29696,0.9069,0.83949,0.9058,0.511,1.47444,0.6462,1.74191,0.0060538,0.0060538,0.0060538
89,7661.6,1.06463,0.53745,1.29815,0.90602,0.83608,0.90225,0.51181,1.47356,0.644,1.74168,0.00597754,0.00597754,0.00597754
90,7742.97,1.06232,0.53801,1.29619,0.90541,0.83744,0.90165,0.51245,1.47408,0.64283,1.74162,0.00590105,0.00590105,0.00590105
91,7824.51,1.05746,0.53171,1.28726,0.90632,0.84351,0.90592,0.5129,1.47323,0.64129,1.74044,0.00582435,0.00582435,0.00582435
92,7906.01,1.05087,0.53062,1.28266,0.9018,0.84773,0.90647,0.51264,1.47368,0.64097,1.74036,0.00574746,0.00574746,0.00574746
93,7987.59,1.04614,0.52823,1.28425,0.90156,0.85041,0.90816,0.5123,1.47311,0.64044,1.74009,0.0056704,0.0056704,0.0056704
94,8069.04,1.05268,0.53435,1.28364,0.90203,0.84963,0.90838,0.51406,1.47308,0.6383,1.73947,0.00559318,0.00559318,0.00559318
95,8150.62,1.046,0.52496,1.27451,0.9034,0.85087,0.9091,0.51551,1.47274,0.63854,1.73832,0.00551584,0.00551584,0.00551584
96,8232.09,1.0363,0.5221,1.269,0.90725,0.84917,0.90913,0.51774,1.47239,0.63761,1.73863,0.00543837,0.00543837,0.00543837
97,8314.03,1.04137,0.52057,1.27235,0.90644,0.84498,0.90888,0.51646,1.47274,0.63809,1.7387,0.00536081,0.00536081,0.00536081
98,8395.4,1.0378,0.51937,1.27632,0.90797,0.84622,0.90959,0.51558,1.47227,0.63771,1.73807,0.00528318,0.00528318,0.00528318
99,8477.03,1.0335,0.52175,1.27449,0.91191,0.84169,0.90984,0.51647,1.47252,0.63802,1.73785,0.00520548,0.00520548,0.00520548
100,8558.43,1.03108,0.51507,1.2639,0.86979,0.87838,0.90937,0.5154,1.47344,0.63809,1.73776,0.00512775,0.00512775,0.00512775
101,8639.87,1.02907,0.5124,1.26162,0.91273,0.846,0.90979,0.51618,1.47264,0.63747,1.73728,0.00505,0.00505,0.00505
102,8721.5,1.02995,0.51888,1.26448,0.90874,0.84829,0.91068,0.51705,1.47192,0.63702,1.73661,0.00497225,0.00497225,0.00497225
103,8802.9,1.02927,0.51356,1.26562,0.90639,0.85317,0.91071,0.51725,1.47274,0.63567,1.73726,0.00489452,0.00489452,0.00489452
104,8884.39,1.02621,0.51176,1.2636,0.90654,0.85189,0.9107,0.51762,1.47311,0.63632,1.73792,0.00481682,0.00481682,0.00481682
105,8965.84,1.01775,0.50904,1.26191,0.89929,0.86307,0.90988,0.5168,1.47287,0.63643,1.73805,0.00473919,0.00473919,0.00473919
106,9047.32,1.02459,0.50954,1.26827,0.89289,0.8653,0.91079,0.51712,1.47248,0.63629,1.73804,0.00466163,0.00466163,0.00466163
107,9128.72,1.00814,0.5058,1.2492,0.89437,0.86475,0.91096,0.51857,1.47201,0.63575,1.73804,0.00458416,0.00458416,0.00458416
108,9210.23,1.01059,0.50054,1.2466,0.89414,0.86397,0.91049,0.51908,1.47188,0.6351,1.73843,0.00450682,0.00450682,0.00450682
109,9291.82,1.01264,0.50147,1.24509,0.89474,0.86412,0.91133,0.51846,1.47218,0.63457,1.73825,0.0044296,0.0044296,0.0044296
110,9373.16,1.00655,0.49904,1.25205,0.89497,0.86526,0.9116,0.51922,1.47241,0.63431,1.73883,0.00435254,0.00435254,0.00435254
111,9454.8,1.00295,0.49581,1.24371,0.89119,0.87117,0.91131,0.51837,1.47245,0.63388,1.73901,0.00427565,0.00427565,0.00427565
112,9536.17,0.99475,0.49446,1.23238,0.88934,0.87227,0.91159,0.51872,1.47253,0.63379,1.73959,0.00419895,0.00419895,0.00419895
113,9617.72,0.99554,0.49259,1.23527,0.89006,0.8681,0.91164,0.51894,1.47201,0.63356,1.73932,0.00412246,0.00412246,0.00412246
114,9699.14,0.99765,0.4915,1.23691,0.8897,0.86775,0.91102,0.51905,1.47158,0.63302,1.73854,0.0040462,0.0040462,0.0040462
115,9780.77,0.98921,0.4903,1.23429,0.8924,0.86642,0.91095,0.51993,1.47054,0.6328,1.73803,0.00397019,0.00397019,0.00397019
