epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.3676,3.37014,8.36762,2.53307,0.63549,0.39518,0.3665,0.17871,3.56928,3.64147,2.69795,0.00333008,0.00333008,0.00333008
2,158.629,3.20019,3.95879,2.49169,0.71734,0.39855,0.4435,0.21915,3.60911,3.22021,2.8673,0.00666301,0.00666301,0.00666301
3,233.641,3.33422,2.92886,2.61648,0.70997,0.4431,0.45489,0.20702,3.62086,2.88592,2.99901,0.00999431,0.00999431,0.00999431
4,308.057,3.36928,2.52618,2.6839,0.80563,0.47978,0.51102,0.23931,3.7225,2.94085,3.07108,0.0099945,0.0099945,0.0099945
5,382.289,3.25816,2.19238,2.62684,0.77853,0.50161,0.52881,0.25395,3.66903,2.45619,3.04099,0.00999023,0.00999023,0.00999023
6,456.631,3.18418,1.99545,2.59793,0.83765,0.5466,0.58936,0.30052,3.57865,2.24052,2.96963,0.00998474,0.00998474,0.00998474
7,530.829,3.1157,1.88404,2.56103,0.88252,0.53262,0.61721,0.30567,3.56482,2.09603,2.9915,0.00997803,0.00997803,0.00997803
8,605.156,3.05874,1.7996,2.52458,0.84497,0.55379,0.61032,0.30982,3.50983,2.0764,2.91606,0.00997011,0.00997011,0.00997011
9,679.718,3.02178,1.73055,2.50406,0.84879,0.57376,0.65429,0.34153,3.49304,1.97883,2.91343,0.00996097,0.00996097,0.00996097
10,754.161,2.97362,1.6641,2.4816,0.83041,0.60948,0.67045,0.35294,3.42164,1.85831,2.89532,0.00995062,0.00995062,0.00995062
11,828.483,2.943,1.63199,2.45347,0.83702,0.58761,0.64158,0.33305,3.44975,1.89423,2.87067,0.00993906,0.00993906,0.00993906
12,902.661,2.90829,1.59859,2.43697,0.86653,0.57864,0.64704,0.33482,3.45381,1.88132,2.87052,0.00992629,0.00992629,0.00992629
13,976.952,2.85382,1.54529,2.41776,0.86071,0.57172,0.6261,0.33287,3.44434,2.00923,2.85564,0.00991232,0.00991232,0.00991232
14,1051.28,2.84792,1.54113,2.41542,0.83916,0.60191,0.67555,0.34871,3.44765,1.86307,2.87738,0.00989715,0.00989715,0.00989715
15,1125.3,2.81301,1.50332,2.40576,0.86684,0.60513,0.7029,0.35228,3.4576,1.80986,2.8799,0.00988079,0.00988079,0.00988079
16,1199.61,2.79974,1.47978,2.37837,0.8838,0.60131,0.70129,0.37376,3.33981,1.75261,2.80092,0.00986323,0.00986323,0.00986323
17,1274.11,2.77581,1.44276,2.37003,0.8687,0.58392,0.68213,0.35497,3.35967,1.69116,2.81198,0.00984449,0.00984449,0.00984449
18,1348,2.7579,1.44624,2.36681,0.84152,0.61388,0.71829,0.38635,3.33143,1.71716,2.77084,0.00982456,0.00982456,0.00982456
19,1422.46,2.74003,1.41301,2.35169,0.87735,0.6143,0.73769,0.40764,3.25993,1.63614,2.77164,0.00980345,0.00980345,0.00980345
20,1496.77,2.74805,1.4282,2.34773,0.88159,0.60421,0.71174,0.37657,3.26956,1.66248,2.73872,0.00978118,0.00978118,0.00978118
21,1571.23,2.71602,1.39189,2.35233,0.86103,0.61804,0.72263,0.38289,3.29678,1.58177,2.80195,0.00975773,0.00975773,0.00975773
22,1645.48,2.71887,1.3871,2.32785,0.87147,0.62867,0.76741,0.40578,3.28813,1.57425,2.78452,0.00973312,0.00973312,0.00973312
23,1719.76,2.67686,1.35627,2.32652,0.6245,0.71975,0.73814,0.38462,3.35239,1.61587,2.7975,0.00970736,0.00970736,0.00970736
24,1793.92,2.69386,1.37073,2.32678,0.87405,0.61099,0.73081,0.38372,3.2778,1.60395,2.7762,0.00968045,0.00968045,0.00968045
25,1868.55,2.65018,1.34302,2.29981,0.9007,0.61603,0.78634,0.41797,3.23343,1.52519,2.74416,0.00965239,0.00965239,0.00965239
26,1942.87,2.63894,1.33994,2.31416,0.73825,0.72932,0.79581,0.43095,3.20557,1.5084,2.72904,0.0096232,0.0096232,0.0096232
27,2017.06,2.63787,1.33048,2.29279,0.63672,0.72645,0.75532,0.40012,3.26527,1.53478,2.75104,0.00959289,0.00959289,0.00959289
28,2091.76,2.61901,1.30162,2.2858,0.75493,0.68546,0.78631,0.42183,3.20479,1.47057,2.72426,0.00956145,0.00956145,0.00956145
29,2166.33,2.61658,1.28248,2.27313,0.89206,0.64138,0.7925,0.43148,3.17174,1.44759,2.67765,0.00952889,0.00952889,0.00952889
30,2240.64,2.60002,1.29147,2.27671,0.76995,0.7524,0.81522,0.43287,3.18224,1.41995,2.70189,0.00949524,0.00949524,0.00949524
31,2315.16,2.60053,1.27499,2.27166,0.69613,0.75617,0.82499,0.43464,3.17299,1.43874,2.71541,0.00946048,0.00946048,0.00946048
32,2389.73,2.58391,1.25309,2.26442,0.74253,0.74367,0.79011,0.42093,3.14466,1.41024,2.69828,0.00942464,0.00942464,0.00942464
33,2464.09,2.58547,1.2719,2.25216,0.91167,0.63323,0.80035,0.42925,3.22075,1.47977,2.69981,0.00938772,0.00938772,0.00938772
34,2538.33,2.54978,1.25101,2.25025,0.74576,0.75922,0.8176,0.44163,3.13831,1.37946,2.67679,0.00934973,0.00934973,0.00934973
35,2612.6,2.55113,1.24373,2.23662,0.75062,0.79005,0.82372,0.44155,3.13498,1.36153,2.66337,0.00931067,0.00931067,0.00931067
36,2686.75,2.52339,1.2342,2.23237,0.70085,0.75175,0.81256,0.4454,3.15674,1.44714,2.68177,0.00927057,0.00927057,0.00927057
37,2761.05,2.5437,1.22684,2.24338,0.74976,0.78172,0.81817,0.43923,3.11435,1.37745,2.6699,0.00922942,0.00922942,0.00922942
38,2835.2,2.52897,1.21812,2.23697,0.79029,0.78689,0.83818,0.4529,3.1254,1.32775,2.68492,0.00918725,0.00918725,0.00918725
39,2909.56,2.5227,1.21913,2.23121,0.69131,0.76279,0.8057,0.44253,3.1164,1.37082,2.65168,0.00914405,0.00914405,0.00914405
40,2983.83,2.51329,1.20779,2.23381,0.75439,0.81175,0.84688,0.45521,3.13315,1.3251,2.67311,0.00909984,0.00909984,0.00909984
41,3059.21,2.48607,1.19335,2.21155,0.76351,0.77769,0.83263,0.45473,3.14607,1.31951,2.66901,0.00905463,0.00905463,0.00905463
42,3133.5,2.47883,1.17636,2.21622,0.81584,0.7778,0.86833,0.46176,3.09876,1.29512,2.63433,0.00900844,0.00900844,0.00900844
43,3207.83,2.48315,1.18762,2.20881,0.78939,0.7827,0.84939,0.46268,3.11283,1.31761,2.64443,0.00896127,0.00896127,0.00896127
44,3282.3,2.45974,1.18274,2.20859,0.7984,0.7672,0.84609,0.47436,3.04647,1.29428,2.62271,0.00891313,0.00891313,0.00891313
45,3356.57,2.47439,1.16347,2.19354,0.84822,0.7583,0.85024,0.474,3.06589,1.29304,2.62586,0.00886404,0.00886404,0.00886404
46,3430.75,2.45477,1.1658,2.20696,0.74129,0.79906,0.85382,0.47397,3.08057,1.30217,2.61943,0.00881401,0.00881401,0.00881401
47,3504.76,2.45003,1.16918,2.19714,0.82218,0.79051,0.87184,0.47838,3.07118,1.2645,2.62598,0.00876305,0.00876305,0.00876305
48,3579.31,2.44114,1.16393,2.20106,0.81858,0.80753,0.8693,0.4767,3.10076,1.26298,2.64702,0.00871117,0.00871117,0.00871117
49,3653.64,2.43301,1.14922,2.18638,0.83291,0.80168,0.87134,0.47601,3.10126,1.25636,2.65894,0.00865839,0.00865839,0.00865839
50,3727.86,2.42623,1.12434,2.17444,0.85213,0.80116,0.8781,0.48273,3.05734,1.23225,2.63168,0.00860473,0.00860473,0.00860473
51,3802.34,2.41979,1.14378,2.17589,0.8171,0.78569,0.87053,0.48459,3.0542,1.25698,2.629,0.00855018,0.00855018,0.00855018
52,3876.88,2.42468,1.13223,2.17212,0.83581,0.81299,0.87664,0.49294,3.02377,1.24071,2.61774,0.00849477,0.00849477,0.00849477
53,3951.19,2.41559,1.13402,2.17119,0.81934,0.80113,0.86657,0.48014,3.03128,1.23362,2.62189,0.00843851,0.00843851,0.00843851
54,4025.59,2.4028,1.13608,2.16101,0.83676,0.78777,0.86522,0.48081,3.04016,1.23897,2.61709,0.00838141,0.00838141,0.00838141
55,4100.13,2.40625,1.13052,2.17276,0.82027,0.81662,0.87247,0.49018,2.98872,1.2184,2.60854,0.00832349,0.00832349,0.00832349
56,4174.33,2.38938,1.11557,2.1623,0.83975,0.81661,0.87159,0.48845,3.0094,1.22744,2.611,0.00826477,0.00826477,0.00826477
57,4248.69,2.38184,1.10632,2.16332,0.87145,0.79398,0.87856,0.49733,3.01544,1.22183,2.60869,0.00820525,0.00820525,0.00820525
58,4323.32,2.35989,1.10014,2.14127,0.84597,0.80195,0.87096,0.49156,3.00564,1.21867,2.59528,0.00814495,0.00814495,0.00814495
59,4397.64,2.36312,1.10793,2.14543,0.89233,0.80453,0.88365,0.49534,3.01185,1.20828,2.59308,0.00808389,0.00808389,0.00808389
60,4472.03,2.36943,1.0937,2.14545,0.84482,0.83748,0.88962,0.49161,3.02557,1.2101,2.59871,0.00802208,0.00802208,0.00802208
61,4546.26,2.34108,1.09213,2.1301,0.86862,0.80133,0.88875,0.49672,3.01387,1.2159,2.60515,0.00795954,0.00795954,0.00795954
62,4620.26,2.33741,1.09906,2.12766,0.87664,0.83603,0.90203,0.50712,2.98735,1.2019,2.59,0.00789628,0.00789628,0.00789628
